scope,product_code,product_name,category,current_routes,recommended_route_gap,impact
SFG_PHARMA,SO-PSS-LO-01001,"[SO-PSS-LO-01001] น้ำยา PS Solution","All / SFG / น้ำยา","Manufacture (Pharma)","Add Auto Transfer Semi (Pharma) if staging transfer is required","Used in multiple FG BOMs; MO may be created without Transfer Pharma"
SFG_PHARMA,SO-PSS-UP-01001,"[SO-PSS-UP-01001] น้ำยา PS Inhaler","All / SFG / น้ำยา","Manufacture (Pharma)","Add Auto Transfer Semi (Pharma) if staging transfer is required","MO may be created without Transfer Pharma"
RM_PHARMA,00529,"[00529] เมนทอล","All / RM / สารเคมี","Buy","Add Auto Transfer RM (Pharma) if RM must move to staging before use","Receipt may exist without Transfer Pharma/RM staging move"
RM_PHARMA,00530,"[00530] การบูร (กล่อง) Camphor","All / RM / สารเคมี","Buy","Add Auto Transfer RM (Pharma) if RM must move to staging before use","Receipt may exist without Transfer Pharma/RM staging move"
RM_PHARMA,00532,"[00532] น้ำมันระกำ","All / RM / สารเคมี","Buy","Add Auto Transfer RM (Pharma) if RM must move to staging before use","Receipt may exist without Transfer Pharma/RM staging move"
RM_PHARMA,00533,"[00533] พิมเสน (กล่อง) Borneol","All / RM / สารเคมี","Buy","Add Auto Transfer RM (Pharma) if RM must move to staging before use","Receipt may exist without Transfer Pharma/RM staging move"
RM_PHARMA,00534,"[00534] แอลกอฮอลล์ 95%","All / RM / สารเคมี","Buy","Add Auto Transfer RM (Pharma) if RM must move to staging before use","Receipt may exist without Transfer Pharma/RM staging move"
RM_PACKAGING,PK-BAG-PS-01001,"[PK-BAG-PS-01001] ถุงหิ้ว PS","All / RM / บรรจุภัณฑ์","Buy","Add Auto Transfer RM (Packaging) if RM must move to staging before use","Receipt may exist without Transfer Packaging/RM staging move"
RM_PACKAGING,PK-BLS-PS-01001,"[PK-BLS-PS-01001] แผงเดี่ยวยาดม PS MarkII 3สูตร","All / RM / บรรจุภัณฑ์","Buy","Add Auto Transfer RM (Packaging) if RM must move to staging before use","Receipt may exist without Transfer Packaging/RM staging move"
RM_PACKAGING,PK-CAR-PS-01008,"[PK-CAR-PS-01008] ลังยาดม PS 60 โหล","All / RM / บรรจุภัณฑ์","Buy","Add Auto Transfer RM (Packaging) if RM must move to staging before use","Receipt may exist without Transfer Packaging/RM staging move"
RM_PACKAGING,PK-SHF-PN-04001,"[PK-SHF-PN-04001] ฉลาก ShrinkFilm Balm 20CC","All / RM / บรรจุภัณฑ์","Buy","Add Auto Transfer RM (Packaging) if RM must move to staging before use","Receipt may exist without Transfer Packaging/RM staging move"
RM_PLASTIC,RM-PLA-HD-00001,"[RM-PLA-HD-00001] เม็ดพลาสติก HDPE 5200B","All / RM / พลาสติก","Buy","Add Auto Transfer RM (Plastic) if RM must move to staging before use","Receipt may exist without Transfer Plastic/RM staging move"
RM_PLASTIC,RM-PVC-RO-01001,"[RM-PVC-RO-01001] PVCแบบม้วน ขนาด 15x0.25mm","All / RM / พลาสติก","Buy","Add Auto Transfer RM (Plastic) if RM must move to staging before use","Receipt may exist without Transfer Plastic/RM staging move"
